site_name,bandwidth
12,3301854
57,5870267
A1,5104097
AE,4867700
Ax,3443534
B2,3552534
BC,3156790
C8,4721230
CK,5050217
Ce,4482580
Cj,3482677
DW,5663444
DZ,5259500
EL,4937547
EN,5267720
ET,3647480
Ed,3779767
Ee,5402000
Es,5623537
FP,6550700
FR,5135327
FT,3983534
Ff,4454590
Fw,4077704
G4,4573727
Gl,4514697
HV,5219034
JQ,4850367
K9,4222330
KP,3842137
Kk,3134814
LP,5409534
Lv,4616394
Mv,4243890
My,6278127
N1,5009014
N3,5906267
NX,3987950
Nm,5099864
O5,4034547
Oo,5486870
Ox,2889410
P6,2471517
PZ,6217370
QV,4567427
QW,4151477
QZ,5759917
Qw,4046220
R7,5658167
Ro,3488997
SV,4357110
Sp,5310954
T6,4895910
To,5273660
U3,4063504
Un,5094617
Vl,3737230
Vu,4933770
Xy,4661774
Y8,4076930
Yk,5493847
Z6,3528797
Zb,4296657
Zt,6117407
Zx,5861797
ac,4990224
av,5861937
ay,6372170
bv,3270430
bw,4453694
by,5252824
dk,4499340
dp,4433914
eq,4307857
f2,4953460
fj,4577867
fl,4423380
fp,5664807
fv,5190207
h9,4399027
i2,5651177
j5,4747057
jl,7600990
ju,4910030
k1,4493014
kr,4601674
l8,3944104
lt,2601587
m1,5379807
mp,4337477
nq,5465880
ny,4065024
os,4248720
p4,4310210
q3,6154077
u5,4854140
u9,4843727
w6,5968574
z1,4239380
z9,6329164
