site_name,bandwidth
18,9015044
27,7657584
69,7917597
A2,9028034
AD,9020344
AH,9426630
AJ,7872154
Af,8212944
As,7551054
B9,10260887
BX,8084960
Bk,8120134
Bs,9523440
CM,9614657
CP,9539864
Cy,8818140
DK,8863574
DL,7926230
DQ,9622240
DR,8871410
Dw,8003967
E4,7313350
EL,9390937
EN,10012754
Eh,7849027
F1,8266807
F8,8130594
FO,8571340
FS,10842467
FT,7490844
G6,8399910
GM,6970917
GO,8641890
Gs,9383034
H1,8258860
H5,9554984
Ha,9136654
Hc,11052604
Hw,9689177
Ii,7597964
J6,6614617
J8,10405624
JM,9888677
JY,9246287
Jd,8370260
Jh,7517914
K3,9505764
KP,7921290
Ko,10742367
Kq,10430240
Lo,8262610
MQ,8391477
Mk,8890100
Mp,9640034
N6,9578000
NR,9184064
Nc,7979214
Ni,9884407
O8,7500390
OX,8679307
Oc,9901117
Oe,9657307
Q4,7734884
Qp,10419027
Qq,9586527
Qr,8296807
R1,7855660
R2,7759864
RY,8427594
Rk,7769140
S6,9509054
Sl,8616817
Sz,8621857
Ti,9982254
Uf,8342044
Uj,8134760
Uk,9108730
Ur,9168364
Vq,8377427
Vu,7093204
Vz,9619480
W3,8419304
WX,8110690
Wc,10585590
Xa,9247980
Xk,9778114
Xp,9954724
Xu,8367557
Y6,7256390
Y7,8156377
Ym,9313940
Yu,7816787
Z6,9400817
Zn,7447004
ab,9104880
af,8262700
al,8063790
bj,8960070
bo,6002860
cm,10968390
et,9487177
f7,7670854
fy,7780687
g6,7645737
g8,9646760
hq,7487457
i8,7307054
ik,9886670
il,7960364
im,9497917
ip,7542660
it,8411010
j5,7362827
jn,6585614
jy,6675600
k7,7141667
l5,7048980
m8,9502780
mq,9411654
o5,8997524
o7,10454017
o8,7974697
o9,10408020
ow,9238264
p3,9278430
p5,9091260
pu,7744197
q5,6888924
q8,6684764
qv,9375837
s1,8040450
s4,8893274
t3,9007837
u1,7459534
z9,8202677
