site_name,bandwidth
59,4437207
AC,4642124
AD,4901057
AG,5357777
Av,4606452
B3,4200765
B9,4372332
BE,4303074
BF,3947514
BQ,3817642
Be,4156444
Bm,4658702
Bn,3894079
By,3712047
CS,5127589
Cs,4257777
D4,4544219
DK,3533365
Dc,3897194
E7,4619187
EU,5122240
FP,4678260
FR,4134874
FV,4531694
Fr,4103790
G4,2825105
GU,4055069
GV,5470449
GY,3960107
Ga,4635039
Gh,3198240
Gk,3803270
Hl,3476670
Hq,4808199
Ht,5366399
I6,4702564
I9,5018885
IR,3645807
IV,3194589
Iy,3782305
J4,4386324
J7,4728820
JW,4633662
Jo,4907155
Jz,4632774
KU,3544590
Kh,3703735
Km,5169792
Ko,4071464
Kq,4234127
L1,3434915
L9,4070529
LP,4070344
M9,3331815
Ms,4484775
NW,4424764
O8,5468074
O9,4728949
OV,5224422
Oq,4248374
PQ,4742534
Ph,4858234
Q9,3897754
QS,4399219
QX,3591300
Qc,3581864
Qn,3699262
RS,5104092
Ra,4687352
Rb,3786620
Rw,4538405
S1,3773660
S6,4054919
S7,3444752
SX,4414742
Ta,3675760
Tf,5734402
Tw,4991667
Ty,4335772
Uu,5136214
Uy,4529409
Va,3787715
Vc,3214327
Vd,4958297
Vu,3778302
WZ,4259815
Xc,3986537
Xe,3442207
Y1,5160717
Yr,3988825
Ys,3648689
Z2,4130917
Zh,4413909
Zs,4159069
bg,4860749
bl,4527339
br,3977367
c5,3581639
cj,3932589
cm,3247967
cr,3937315
cz,4173174
d4,4684164
dn,3790967
e2,3765244
er,4585054
f1,4279772
f5,4964624
fs,4438335
fv,3960574
fw,4547280
fz,4713460
gt,4971687
h1,3379137
hx,4067714
i7,4290604
i8,3504307
im,4407384
is,4375650
j5,3330115
k1,3938247
kv,4837484
l1,5310810
l7,3900765
m1,3344839
np,5036577
nr,3924064
pr,4450374
rx,4292022
sy,5117357
tw,4286314
uv,3942379
w2,3966169
wx,3739592
y8,4454425
