site_name,bandwidth
AN,1506251
B3,1326645
BF,1757396
BM,1102498
BT,1440798
Bk,1427437
Bo,1082282
C1,1241322
Cm,1417308
Cn,1029094
Cq,1586376
Cs,1299147
D1,1094384
D9,1098847
Df,1359763
Ds,1185748
Dt,1343631
Eb,1656205
Eh,1453072
Eu,1955982
Ev,1396813
FS,1539176
Fn,1610289
Hy,1556633
IR,1538717
J7,1948083
JL,1323702
JT,1801977
Jh,1784808
Jn,1367053
K3,1743188
Kc,1160817
Kd,1720772
Kh,1521800
Kj,1542347
Km,1622583
Kx,1019989
L2,1426179
L3,1905152
Lp,1192831
MW,931057
Ms,1142152
NW,1306656
Nm,1883246
Nw,1139175
Oa,1461978
Of,1607790
Os,1257503
PT,1601427
PY,1470821
Pc,1483335
Pr,1630027
Qs,1645415
Ra,1346973
T2,1887986
T6,1081418
U3,922603
Ur,1141677
Vt,1496697
Vw,1401462
Wk,1540157
X9,1158948
Xk,1182202
Yy,1675279
Z4,1261769
Zy,1269025
ar,1467339
b9,1653745
c3,1636937
c7,1677882
cs,1329228
di,1567527
er,1779645
h5,1359093
ij,1427336
in,1589008
iu,1186426
j2,1597812
j7,1906045
k3,1203412
kz,1431534
lr,1487939
m7,1706133
n2,1380938
nq,1676915
o3,1078960
or,1424892
p9,1345864
pu,1376030
q7,1344092
q9,1239060
u8,1393124
v2,1917097
w1,1414131
w3,1626058
w4,1413474
x8,1394406
y1,1403893
y6,1477126
z5,1198393
