site_name,bandwidth
18,2604647
59,2155034
78,2203772
A4,3134580
A7,2582662
AD,2389134
AI,2399677
BI,2799527
BM,2214365
Bg,2658584
Bi,2317659
Bq,1711559
Bv,2016025
CR,2825435
CX,2291972
DX,2119280
De,2049710
Er,2350249
Ey,2137147
FH,2960257
Fq,1949170
Fz,2061890
G8,2623735
GQ,2544352
Gd,2317460
Gs,1765099
H5,2531345
HO,2110445
Hg,2202874
IM,2629132
Ig,2915587
Iv,2212649
KS,1982327
Ke,1863274
Kr,2052362
Kw,2460154
LO,2259410
Ls,3052502
Lv,2042375
M1,2255995
NV,2558955
Nf,2579032
OY,1822967
Ok,2630190
Op,3068850
QV,2640564
Qa,3031404
Qf,2081062
Rm,2089890
Rv,2160697
Ry,2218624
S1,2029875
Sd,3007642
Si,2031684
Sv,2163040
Tf,2154052
Uf,1933145
Ul,1944835
Un,2032852
VZ,1849225
Vt,1678320
W7,2422767
Wf,1995069
X9,2071234
Xl,2490754
Xx,2099645
Y8,2756582
a5,2415435
aq,1791630
bg,2824834
by,1705129
c4,1867472
cn,2324690
ev,2734677
f9,1973477
fs,2305639
gq,1677342
hn,2472259
i5,1890487
i6,1384445
js,2038027
k1,2919252
kr,1605322
l9,2536882
m1,2300250
m4,2045387
mq,2739914
nw,3983822
p7,1776817
pu,2447460
pw,2685587
r1,2103024
rz,2685182
ty,1953574
uw,2442224
ux,2612394
vx,2622285
vy,3116497
x6,1473684
z6,1474539
