site_name,bandwidth
18,2297495
24,2444842
39,2711246
68,2591124
78,2237209
AB,3117034
Ac,2430942
Am,3239135
Bd,3029614
Bq,2783908
CV,2541647
Ck,2728423
Cr,2444256
Ct,2570112
D3,2703419
D8,2451885
DG,2432838
Db,2732870
Dd,2829517
De,2427876
Dq,2443679
Dt,2524658
Dz,2426259
E6,2445448
E9,2563703
ET,2993861
EW,2342240
Ei,2387493
Ep,2480008
F5,2781914
FX,2882271
FZ,2745339
Fc,2051647
Fq,2994487
G4,2864023
Gg,2229098
Gk,2247935
H8,2314485
HP,2532330
HW,2711809
Hl,2967444
Ho,1992443
Hr,2495192
IP,2688582
IR,2761997
IT,2482244
Ir,2402487
JM,2606638
Jq,3367157
KO,2744929
Kl,2438010
Ko,2526258
LQ,2596856
LU,2421958
LW,2910282
Lv,2520572
MV,2420782
Mc,2372838
Mo,2695770
Mu,2197402
N5,3085537
N7,2916409
No,2808677
O4,3260098
OR,2656846
OS,2699786
Oi,2967204
Os,2541132
Ot,2507739
Ow,2919014
Ox,2779106
P5,2341952
P6,3019848
Pd,2774755
QU,2417633
Qz,2723592
R6,2889297
R8,2945235
R9,2373004
Ru,2827743
Sc,2601914
T3,2447052
TZ,2533343
Tv,2818872
U7,3090592
Ua,2474059
V8,2263466
Vj,2793466
Wi,2341707
Wp,2302395
Xf,2557289
Xl,2459525
Xt,2885883
Y3,2524134
Y8,2210830
YZ,2239480
Yn,1815475
Z7,2418454
Zj,2580260
Zk,2962524
bh,3136048
bl,2281329
ci,2274984
cj,2717457
cn,3083486
di,2318794
dn,2244421
ej,2841280
fh,2892943
fi,2726596
fy,2690652
fz,2793466
g9,2637908
gh,2758675
hp,3270455
ht,2682106
l2,2296719
lr,3221459
m1,2739802
mn,2427434
n3,2588675
np,2703211
o6,2737689
oy,2028775
p5,2533753
p9,2307513
pv,2959275
q2,2207092
qt,2905304
r8,2755443
ru,2435678
s5,2519443
w3,2638943
xy,2216985
z4,1779170
